block_id,pair_count,matt_start,matt_end,luke_start,luke_end,mean_score,min_score,max_score,matt_original_start_idx,matt_original_end_idx,luke_original_start_idx,luke_original_end_idx
1,1,Matt 1:25,Matt 1:25,Luke 1:31,Luke 1:31,0.598505,0.598505,0.598505,25,25,31,31
2,8,Matt 3:7,Matt 4:7,Luke 3:7,Luke 4:12,0.654037,0.47243,0.936647,55,72,139,182
3,1,Matt 5:3,Matt 5:3,Luke 6:20,Luke 6:20,0.356689,0.356689,0.356689,93,93,273,273
4,1,Matt 5:46,Matt 5:46,Luke 6:32,Luke 6:32,0.408055,0.408055,0.408055,136,136,285,285
5,6,Matt 7:1,Matt 8:10,Luke 6:37,Luke 7:9,0.629656,0.397739,0.919195,173,211,290,311
6,10,Matt 11:3,Matt 11:19,Luke 7:19,Luke 7:34,0.617443,0.404583,1.0,318,334,321,336
7,5,Matt 11:21,Matt 11:27,Luke 10:13,Luke 10:22,0.682605,0.47833,0.920229,336,342,483,492
8,5,Matt 12:28,Matt 12:45,Luke 11:20,Luke 11:26,0.749141,0.46359,1.0,373,390,532,538
9,2,Matt 23:25,Matt 23:35,Luke 11:39,Luke 11:51,0.387418,0.346588,0.428249,796,806,551,563
10,7,Matt 24:43,Matt 24:50,Luke 12:39,Luke 12:46,0.643259,0.447738,0.838452,853,860,605,612
11,1,Matt 25:30,Matt 25:30,Luke 13:28,Luke 13:28,0.371233,0.371233,0.371233,891,891,653,653
12,1,Matt 26:16,Matt 26:16,Luke 22:6,Luke 22:6,0.521526,0.521526,0.521526,923,923,976,976
13,1,Matt 26:68,Matt 26:68,Luke 22:64,Luke 22:64,0.556421,0.556421,0.556421,975,975,1034,1034
