direction_id,hypothesis,pair,current_status,primary_support_count,primary_contra_count,major_gap_count_abs_diff_ge_20,max_gap_abs_difference,reordering_or_secondary_echo_rows,primary_pair_count,mean_primary_pair_score,john_anchor_count,john_anchors_where_shared_tradition_best,best_response_model
matthew_used_mark,Matthew used Mark,Mark↔Matthew,supported / high confidence relative to reverse,3,4,8,112.0,20,385,0.4385,,,"Matthean redaction of Mark-like narrative source plus additional sayings, fulfillment, infancy, and discourse traditions."
mark_used_matthew,Mark used Matthew,Mark↔Matthew,"possible locally, higher cumulative burden",2,4,8,112.0,20,385,0.4385,,,Markan epitome/abbreviation model with deliberate focus on action narrative and omission of long discourse/infancy material; plausible only if Mark had strong genre/theological reasons to compress Matthew.
luke_used_mark,Luke used Mark,Mark↔Luke,supported over reverse among direct-use alternatives; medium-high with order-retention penalties,3,4,8,228.0,154,183,0.4042,,,"Luke used Mark-like narrative source selectively, combining it with other sources/traditions and extensive Lukan redaction; shared-tradition alternatives must pay an order-retention penalty."
mark_used_luke,Mark used Luke,Mark↔Luke,"possible locally, higher burden than Luke used Mark among direct-use alternatives",2,4,8,228.0,154,183,0.4042,,,Markan epitome of Luke with radical abbreviation and narrative concentration; this is a high-burden response model in the current data.
matthew_used_luke,Matthew used Luke,Matthew↔Luke,not demonstrated after Markan masking; possible locally,2,4,12,237.0,1031,233,0.3524,,,"Matthew used Luke-like sayings/tradition or Luke itself selectively, reorganizing sayings into discourse blocks; strongest version requires a robust explanation for displaced double-tradition order."
luke_used_matthew,Luke used Matthew,Matthew↔Luke,possible locally; not demonstrated by masked data alone,2,4,12,237.0,1031,233,0.3524,,,"Luke used Matthew selectively, deliberately de-Mattheanizing discourse clusters and redistributing sayings; plausible under a strong editorial-theological program but not forced by current masked data."
john_used_mark,John used Mark,John↔Mark,possible locally; shared anchor tradition currently lower burden,2,4,0,,0,10,0.2401,10.0,10.0,"John knew Mark or Mark-like tradition but used it selectively through a theological rewriting program; strongest only for local passion/sign anchors, not global dependence."
john_used_matthew,John used Matthew,John↔Matthew,possible locally; shared anchor tradition currently lower burden,2,4,0,,0,10,0.3162,10.0,10.0,John used Matthew-like tradition selectively or knew Synoptic tradition in a Matthean form; current evidence is better treated anchor by anchor.
john_used_luke,John used Luke,John↔Luke,possible locally; shared anchor tradition currently lower burden,2,4,0,,0,9,0.1528,9.0,9.0,"John knew Luke-like traditions or a shared passion/sign source; direct use of canonical Luke remains a local possibility, not a global conclusion."
mark_used_john,Mark used John,John↔Mark,low support; included for completeness,2,4,0,,0,10,0.2401,10.0,10.0,A radical Synoptic condensation of Johannine tradition; currently a high-burden completeness hypothesis.
matthew_used_john,Matthew used John,John↔Matthew,low support; included for completeness,2,4,0,,0,10,0.3162,10.0,10.0,Matthew knew a Johannine-like anchor tradition but not necessarily the Gospel of John; direct use of John is not currently supported.
luke_used_john,Luke used John,John↔Luke,low support; included for completeness,2,4,0,,0,9,0.1528,9.0,9.0,Luke knew a shared Johannine-like passion/sign tradition rather than using canonical John; direct John→Luke is a low-priority hypothesis.
